영단어	한글 뜻	영어 예문	Day	단원	과	태그
conduct	수행하다; 이끌다	The students conducted a simple science experiment.	1	Sample	1	기본
conducive	도움이 되는; ~에 좋은	A quiet room is conducive to focused study.	1	Sample	1	어원
pursue	추구하다; 뒤쫓다	She decided to pursue her goal with patience.	1	Sample	1	동사
proficient	능숙한	He became proficient in using the design software.	1	Sample	1	형용사
redundant	불필요한; 중복되는	Remove any redundant details from the report.	1	Sample	2	형용사
remnant	남은 부분; 흔적	A remnant of the old wall remains near the gate.	1	Sample	2	명사
mundane	일상적인; 재미없는	Good design can improve even mundane tasks.	2	Sample	2	형용사
compulsory	의무적인; 필수의	Safety education is compulsory for every student.	2	Sample	3	형용사
reclaim	되찾다; 재생하다	The city plans to reclaim the unused land.	2	Sample	3	동사
paradox	역설; 모순되어 보이는 말	The statement sounds like a paradox at first.	2	Sample	3	명사
morale	사기; 의욕	The team's morale improved after the small success.	2	Sample	4	명사
encompass	포함하다; 둘러싸다	The project will encompass research and presentation.	2	Sample	4	동사
